question,answer,category,keywords
預約流程,預約後會有諮詢時間，當天諮詢完可決定是否做療程,預約,"""預約, 諮詢"""
付款方式,現場可使用現金、信用卡、匯款、街口支付等方式,付款,"""現金, 刷卡, 付錢"""
診所介紹,我們診所結合【科學根據 及 科技原理】提供減脂減重、身材雕塑、睡眠問題、肌膚保養、抗衰逆齡、私密處保養，針對不同狀況做加強協助達到更理想的狀況😊,診所介紹,診所介紹
療程效果,由於每個人情況不同，建議您可以先預約初診，讓我們診所專業團隊依照您的狀況，與您討論適合的療程方向哦,療程效果,"""效果, 療程效果"""
會註記在健保雲端快易通上嗎？,不會的唷,初診,"""初診, 健保, 註記, 健保雲端"""
多人優惠,我們現場非常多案例分享也都有多堂優惠唷，非常歡迎實際到場了解一下。,初診,"""多人, 團報, 優惠, 多堂, 一起做"""
腦波機或EECP可以申請保險？,這些醫學儀器治療方式都屬自費醫療唷，透過非侵入、免藥物的方式改善睡眠與自律神經失調等共病問題，因尚未納入健保及保險理賠範圍，費用需自行負擔。,保險,保險申請
你們施作室跟更衣室有監視器嗎,沒有唷~會擔心的話，也可以至廁所進行更衣~,安全,"""安全, 隱私, 監視器"""
其他地方有分店嗎？,"我們目前只有台北和竹北有喔～
目前其它地區正在籌備規劃當中，歡迎您持續關注我們最新動向

FB：https://www.facebook.com/hopkinsprecision/
IG：https://www.instagram.com/hopkins_clinic/",分店,"""分店, 據點, 其他分店, 其他地區, 有幾間店, 別間"""
這個方案是幾次?,"我們的體驗方案都是**單次(一堂)**唷～想了解需要做幾次會更有感,可以由專業團隊評估後為您規劃💕",堂數,"""幾次, 幾堂, 包含幾次, 單次, 堂數, 一堂"""
有點滴療程嗎?,目前沒有侵入性的點滴療程唷,其他療程,"""其他療程, 點滴療程"""
