treatment,consult_free,consult_fee,plans
腦波機初診,否,"【腦波機（DeepTMS）初診收費】針對睡眠問題與自律神經失調的腦波機療程，初診有兩種方案可以選擇唷
 方案一｜諮詢檢測＋治療體驗 $4,800  
✅ 自律神經檢測＋專業團隊評估＋治療體驗
方案二｜純諮詢檢測 $1,000  
✅ 自律神經檢測＋專業團隊評估
最晚預約時段皆為19:00
","1.  HRV自律神經檢測：
• 5 ~10分鐘快速檢測，以科學數據解析四大關鍵指標
✓ 壓力指數 、睡眠品質 、疲勞程度、神經活性，幫助及早掌握健康狀況，發現潛在風險

2.  專業團隊評估：
• 結合檢測報告與 AI 數據庫，現場詳細解說您的整體狀況
✓ 止鼾檢測，解析上呼吸道結構是否異常，提供個案狀況改善建議與治療規劃

3.  安排治療體驗：
• 根據評估結果安排適合的治療方式
✓ 腦波機、EECP、PBM紅光、NightLase止鼾雷射等醫學科技儀器， 讓您親身感受療效。

看診時段請預留約 1 小時左右，好讓我們仔細了解每位個案狀況，健康需要細心呵護"
EECP初診,否,"【EECP 體外反搏初診收費】針對心血管循環的 EECP 療程，初診有兩種方案可以選擇唷
 方案一｜諮詢檢測＋治療體驗 $4,800  
✅ 自律神經檢測＋專業團隊評估＋治療體驗
方案二｜純諮詢檢測 $1,000  
✅ 自律神經檢測＋專業團隊評估
最晚預約時段皆為19:00","1.  HRV自律神經檢測：
• 5 ~10分鐘快速檢測，以科學數據解析四大關鍵指標
✓ 壓力指數 、睡眠品質 、疲勞程度、神經活性，幫助及早掌握健康狀況，發現潛在風險

2.  專業團隊評估：
• 結合檢測報告與 AI 數據庫，現場詳細解說您的整體狀況
✓ 止鼾檢測，解析上呼吸道結構是否異常，提供個案狀況改善建議與治療規劃

3.  安排治療體驗：
• 根據評估結果安排適合的治療方式
✓ 腦波機、EECP、PBM紅光、NightLase止鼾雷射等醫學科技儀器， 讓您親身感受療效。

看診時段請預留約 1 小時左右，好讓我們仔細了解每位個案狀況，健康需要細心呵護"
PBM紅光粒線體初診,否,"【PBM 紅光（粒線體療法）初診收費】針對細胞修復的紅光療程，初診有兩種方案可以選擇唷
 方案一｜諮詢檢測＋治療體驗 $4,800  
✅ 自律神經檢測＋專業團隊評估＋治療體驗
方案二｜純諮詢檢測 $1,000  
✅ 自律神經檢測＋專業團隊評估
最晚預約時段皆為19:00","1.  HRV自律神經檢測：
• 5 ~10分鐘快速檢測，以科學數據解析四大關鍵指標
✓ 壓力指數 、睡眠品質 、疲勞程度、神經活性，幫助及早掌握健康狀況，發現潛在風險

2.  專業團隊評估：
• 結合檢測報告與 AI 數據庫，現場詳細解說您的整體狀況
✓ 止鼾檢測，解析上呼吸道結構是否異常，提供個案狀況改善建議與治療規劃

3.  安排治療體驗：
• 根據評估結果安排適合的治療方式
✓ 腦波機、EECP、PBM紅光、NightLase止鼾雷射等醫學科技儀器， 讓您親身感受療效。

看診時段請預留約 1 小時左右，好讓我們仔細了解每位個案狀況，健康需要細心呵護"
NightLase無創雷射止鼾初診,否,"【NightLase 止鼾雷射初診收費】針對打呼、睡眠呼吸中止的止鼾雷射，初診有兩種方案可以選擇唷
 方案一｜諮詢檢測＋治療體驗 $4,800  
✅ 自律神經檢測＋專業團隊評估＋治療體驗
方案二｜純諮詢檢測 $1,000  
✅ 自律神經檢測＋專業團隊評估
最晚預約時段皆為19:00","1.  HRV自律神經檢測：
• 5 ~10分鐘快速檢測，以科學數據解析四大關鍵指標
✓ 壓力指數 、睡眠品質 、疲勞程度、神經活性，幫助及早掌握健康狀況，發現潛在風險

2.  專業團隊評估：
• 結合檢測報告與 AI 數據庫，現場詳細解說您的整體狀況
✓ 止鼾檢測，解析上呼吸道結構是否異常，提供個案狀況改善建議與治療規劃

3.  安排治療體驗：
• 根據評估結果安排適合的治療方式
✓ 腦波機、EECP、PBM紅光、NightLase止鼾雷射等醫學科技儀器， 讓您親身感受療效。

看診時段請預留約 1 小時左右，好讓我們仔細了解每位個案狀況，健康需要細心呵護"
Emface初診,是,,"如果說您沒有接觸過相關療程，Emface初診諮詢評估完全免費！不需要任何費用，可以為您做安排唷:)

🔹諮詢時透過專業團隊分析，評估您的膚質、輪廓比例、緊緻度、黑色素分佈等，並根據您的需求與期待目標，規劃適合的療程方向。您可先參考專業上的建議，再評估是否進行療程哦~

🔹若進入療程階段，我們將進一步記錄療程前後的變化，全程陪伴您打造理想美麗✨引進【最新臉部掃描檢測儀】讓您更清楚看到臉部輪廓比例的優化✅拉提與緊緻效果的提升✅澎潤度與膚質改善的變化✅"
EMBODY初診,是,,EMBODY（高強度電磁能）的初診評估：小編可以先幫您安排【免費諮詢＋檢測評估】可以更加了解目前的實際狀況，✅️例如：皮下脂肪、內臟脂肪、肌肉量、基礎代謝率、腹直肌分離、 BMI等指數，依據科學指標數據來規劃適合您的方式，確保達到理想效果！再考慮是否進行💕
NEO初診,是,,NEO（熱磁減脂）的初診評估：小編可以先幫您安排【免費諮詢＋檢測評估】可以更加了解目前的實際狀況，✅️例如：皮下脂肪、內臟脂肪、肌肉量、基礎代謝率、腹直肌分離、 BMI等指數，依據科學指標數據來規劃適合您的方式，確保達到理想效果！再考慮是否進行💕
冷凍初診,是,,冷凍的初診評估：小編可以先幫您安排【免費諮詢＋檢測評估】可以更加了解目前的實際狀況，✅️例如：皮下脂肪、內臟脂肪、肌肉量、基礎代謝率、腹直肌分離、 BMI等指數，依據科學指標數據來規劃適合您的方式，確保達到理想效果！再考慮是否進行💕
SIS初診,是,,SIS的初診評估：小編可以先幫您安排【免費諮詢＋檢測評估】可以更加了解目前的實際狀況，✅️例如：皮下脂肪、內臟脂肪、肌肉量、基礎代謝率、腹直肌分離、 BMI等指數，依據科學指標數據來規劃適合您的方式，確保達到理想效果！再考慮是否進行💕
瘦瘦筆初診,是,,瘦瘦筆的初診評估：小編可以先幫您安排【免費諮詢＋檢測評估】可以更加了解目前的實際狀況，✅️例如：皮下脂肪、內臟脂肪、肌肉量、基礎代謝率、腹直肌分離、 BMI等指數，依據科學指標數據來規劃適合您的方式，確保達到理想效果！再考慮是否進行💕
無限電波初診,是,,"如果說您沒有接觸過相關療程，無限電波初診諮詢評估完全免費！不需要任何費用，可以為您做安排唷:)

🔹諮詢時透過專業團隊分析，評估您的膚質、輪廓比例、緊緻度、黑色素分佈等，並根據您的需求與期待目標，規劃適合的療程方向。您可先參考專業上的建議，再評估是否進行療程哦~

🔹若進入療程階段，我們將進一步記錄療程前後的變化，全程陪伴您打造理想美麗✨"
鉑金蜂巢皮秒初診,是,,"如果說您沒有接觸過相關療程，無限電波初診諮詢評估完全免費！不需要任何費用，可以為您做安排唷:)

🔹諮詢時透過專業團隊分析，評估您的膚質、輪廓比例、緊緻度、黑色素分佈等，並根據您的需求與期待目標，規劃適合的療程方向。您可先參考專業上的建議，再評估是否進行療程哦~

🔹若進入療程階段，我們將進一步記錄療程前後的變化，全程陪伴您打造理想美麗✨"
